Название,Текст
"CINNAMON ","🔥Cinnamon is an ideal hot oil to increase libido, sensuality, passion, as well as to lower blood sugar levels.

☘️ Chemical composition:

Cinnamon bark: cinnamon aldehyde 83%, eugenol 1%, karyoliphilene 

Cinnamon leaves: eugenol 80%, aldehyde 5%, benzyl acetate

IMPACT ON THE PHYSICAL LEVEL:

✔️Digestive, stimulates the digestive tract
✔️Increases appetite
✔️Stimulates local blood circulation 
✔️Aphrodisiac
✔️Antiseptic
✔️Antiparasitic 
✔️Regulates blood sugar 
✔️Antispasmodic 
✔️Anti-inflammatory 
✔️Hypertensive
✔️Insecticidal
✔️Warming
✔️Regulates metabolism 
✔️Immunomodulator
✔️Stimulates menstruation

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 

Body Shame 
Fear
Control 
Jealousy 
Trauma from Sexual Violence 
Hyperactivity 
Sexual Depression 

✅ Develops: 

Body Acceptance 
Sexuality 
Attractiveness

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.

"
"Turmeric - dual chamber capsules","
🟡 DUAL TURMERIC CAPSULES - combine the beneficial properties of turmeric essential oil and curcuminoids from turmeric extract in a convenient unique form.

ADVANTAGES:

✔️They help to provide healthy protection of the body from inflammation. 
✔️ They help the body fight free radicals and protect the body from the harm of oxidation. 
✔️ They remove inflammatory processes from soft and hard tissues.

Turmeric essential oil contains two unique chemical components, tumeron and artumeron, which help the body to absorb curcumin, contributing to the natural protection of the body.

Studies have shown that curcuminoids have low bioavailability increases. These are unique two-chamber capsules, because they combine the main ingredients in one convenient form, which contributes to the better digestibility of turmeric.

Unlike other brands that combine turmeric extract with substances such as black pepper extract, the two-chamber capsule uses a more natural approach. 

Along with proper nutrition, regular physical activity and enough sleep, two-chamber capsules with turmeric from will help fight free radicals and provide the body with healthy protection from inflammation. 

👇Methods of application:

1-2 capsules a day, morning - evening with meals. The duration of admission is 1 month.

Information is for informational purposes only. Consult your doctor.




"
"LAVENDER ","💟 Lavender is general therapeutic oil that has more than 200 ways of application. The oil contains about 300 components. Base: Linalyl acetate 35 - 45%, linalool 30 - 35%, terpene 4 - ol up to 5%, lavandulyl acetate up to 3%, camphor and others.

IMPACT ON THE PHYSICAL LEVEL:

✔️General therapeutic effect
✔️ Anti-inflammatory 
✔️Regenerating 
✔️Fungicidal
✔️ Restorative
✔️ Immunomodulatory ( T – system ) 
✔️Antidepressant 
✔️Stimulates lymph flow
✔️ Hypotensive
✔️ Relaxing (without sedative effect, does not depress the nervous system) 
✔️Anti-burn
✔️ Soothing 
✔️Antihistamine (antiallergic) 
✔️Antiseptic 
✔️Improves microcirculation
✔️ Antisclerotic 
✔️Analgesic
✔️ Normalizes appetite and improves gastrointestinal function 
✔️Choleretic/diuretic
✔️ Antiarrhythmic
✔️ Stimulates childbirth and menstruation 
✔️Oncoprotector
✔️ Adaptogen
✔️ Repellent
✔️ Normalizes hormonal status in tuberculosis

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Obstacles in communication 
Fear of rejection
Tightness
Tension 
Secrecy 
Self-doubt 
Dislike 

✅ Develops: 
Openness in communication 
Expressiveness 
Calmness 
Emotional clarity

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.

"
"FRANKINCENSE ","🌿 Chemical composition: monoterpene hydrocarbons 11 - 60%, oxygen-containing monoterpenes 5 - 9%, incesol, borneol, etc.

IMPACT ON THE PHYSICAL LEVEL:

✔️Psychotropic (without central nervous system depression) 
✔️Soothing Relaxing 
✔️Antidepressant 
✔️Anti-inflammatory 
✔️Antihistamine 
✔️Anti-Asthmatic
✔️Expectorant 
✔️Carminative
✔️ Regenerating, works at the DNA level of the cell
✔️ Immunomodulator 
✔️Antioxidant 
✔️Hemostatic 
✔️Warming
✔️Strengthens hair 
✔️Local anesthesia

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Loneliness 
Spiritual separation 
Loss of connection with the father 
Insecurity spiritual darkness

✅ Develops: 
Enlightenment 
Love 
Protection 
Wisdom 
Insight 
Unity with the father 
Spiritual openness

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.



"
"LIME","💚 Lime essential oil is a wonderful disinfector that you can eat 😄

🌿 Chemical composition: limonene 50-64%, linalool 0.1 - 0.2%, citral 3 - 5%, beta - bisabolene 1.5 - 4% and others

IMPACT ON THE PHYSICAL LEVEL:

✔️Antiseptic (antiviral, antibacterial)
✔️Antitoxic 
✔️Triggers lipolysis
✔️Regulates carbohydrate - fat metabolism 
✔️Hypotensive (lowers blood pressure) 
✔️Choleretic
✔️Antisclerotic
✔️ Anti – inflammatory
✔️Analgesic 
✔️Antispasmodic 
✔️Laxative 
✔️Digestive 
✔️Stimulates the psyche 
✔️Repellent 
✔️Aphrodisiac

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Apathy
Humility
Grief
Loss of will
Discouragement

✅ Develops:
Courage, animation, honesty, determination, benevolence for life.

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.



"
"LEMONGRASS  ","🌾Lemongrass is a unique essential oil from a plant of the cereal family, but belonging to the citrus group. 

🌿 Chemical composition: 
Citral (80 - 85%) world prices (up to 10%), Geraniol (3.5%) and other components


IMPACT ON THE PHYSICAL LEVEL:

✔️Stimulates the psyche (antidepressant) 
✔️Tones up the nervous system
✔️Antiviral 
✔️Fungicidal 
✔️Triggers lipolysis
✔️Digestive
✔️ Increases endurance to physical exertion
✔️Antiseptic 
✔️Improves vascular wall permeability 
✔️Hypertensive 
✔️Carminative
✔️Choleretic 
✔️Diuretic
✔️ Reduces electromagnetic radiation from computer and TV

IMPACT ON THE EMOTIONAL LEVEL:

⚡️Removes negative energy
⚡️Gets rid of despair 
⚡️Removes getting stuck in the past 
⚡️Working with accumulation
⚡️Neutralizes spiritual blindness

 ✅ Develops: 
Spiritual purity 
Cleanses
Develops detachment
Gives simplicity
Gives insight 
Allows you to let go of what is not needed


🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.


"
"LEMON","🍋 The most multifunctional citrus in the world of esters. 

🌿 Chemical composition: 
Limonene 60-80%, beta - linene 14%, gamma - terpene about 10%, citral 3 - 5% and others

IMPACT ON THE PHYSICAL LEVEL:

✔️Antiseptic (destroys microflora: bacteria, viruses, fungi, protozoa, microalgae)
✔️Antioxidant
✔️Triggers Lipolysis
✔️Normalizes Lipid Metabolism 
✔️Digestive
✔️Choleretic 
✔️Antisclerotic
✔️Hypotensive
✔️Anti-inflammatory
✔️Stimulates Hematopoiesis and oimphopoiesis
✔️Immunomodulatory 
✔️Tones
✔️Refreshes 
✔️Antispasmodic 
✔️Expectorant
✔️Hemostatic 
✔️Wound 
✔️Healing 
✔️Cardio tonic
✔️Diuretic
✔️Whitens the skin 
✔️Anthelmintic
✔️Aphrodisiac

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes:
Confusion
Inability to make a decision
Fatigue 
Lack of energy 
Guilt 
Detachment 
Learning problems 

✅ Develops: 
Concentration
Clarity of mind 
Energy 
Savvy
Rationality 
Joy

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.
"
"MARJORAM ","😉 Marjoram is the main means for LOWERING libido. Did you know about this? 

🌿 Chemical composition: contains about 60 active ingredients. Terpinen-4-ol 10 - 35%, carvacrol up to 30%, alpha-Terpinen and para-cymol 27%, linalool 20% and others.

IMPACT ON THE PHYSICAL LEVEL:

✔️Bactericidal
✔️Antiviral
✔️Soothing 
✔️Relaxing 
✔️Antispasmodic
✔️Anti-inflammatory 
✔️Hypotensive 
✔️Expectorant 
✔️Stimulates appetite 
✔️Stimulating secretory - motor function of the gastrointestinal tract
✔️Antioxidant
✔️Stimulates menstruation 
✔️Stimulates local circulation 
✔️Normalizes the activity of the central nervous system
✔️Analgesic 
✔️Choleretic/diuretic
✔️Reduces sebaceous gland secretion
✔️Antitumor 
✔️Reduces libido

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Distrust 
Self-sabotage 
Emotional alienation 
Seclusion 
Fear of rejection 

✅ Develops: 
Emotional openness 
Close relationships 
Responsiveness 
The ability to love and trust

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.



"
"MANDARIN (TANGERINE)","🍊Mandarin is a symbol of holiday mood ✨

🌿Chemical composition: limonene up to 70%, gamma - terpinene 9-17%, alpha and beta linene 4%, citral 0.2%.

IMPACT ON THE PHYSICAL LEVEL:

✔️Digestive
✔️Sedative 
✔️Antidepressant
✔️Choleretic
✔️Antioxidant
✔️Normalizes appetite and stimulates the gastrointestinal tract
✔️The launch of lipolysis
✔️Normalizes carbohydrate - fat metabolism
✔️Restorative
✔️Reduces
✔️Increases acidity in the stomach
✔️Nutritious
✔️Toning the nervous system 
✔️Antiseptic
✔️Expectorant 
✔️Improves blood circulation in tissues

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Hyper-responsiveness 
Suppressed creativity 
Sense of duty
Overwork 
Joylessness
Heaviness on the heart 

✅ Develops: 
 Joy
 Fun
 Creativity
 Optimism,
 Spontaneity
 Fullness
 Carelessness

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.


"
"MELISSA ","🌱Melissa is one of the rarest and most inaccessible oils. An excellent remedy for allergies and other disorders of the immune system. 

🌿Chemical composition: citral 63%, citronellal,9%, citronellol 8, 2%, geraniol 12%, linalool 14.2%, etc.

IMPACT ON THE PHYSICAL LEVEL:

✔️Antispasmodic
✔️Antidepressant 
✔️Anti-inflammatory
✔️Antihistamine
✔️Analgesic
✔️Immunomodulatory
✔️Hypotensive
✔️Antiseptic 
✔️Sedative
✔️Carminative
✔️Diaphoretic 
✔️Expectorant
✔️Activates mental activity 
✔️Tonic for the nervous system 
✔️Antipyretic 
✔️Choleretic
✔️Stimulates appetite
✔️Anthelmintic 
✔️Stimulates the function of the endocrine system
✔️Stimulates lactation 
✔️Repellent

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Despair 
Hopelessness
Heavy burden 
Depression 

✅ Develops:
Enlightenment 
Joy 
Energy 
Spiritual unity
Integrity
Enthusiasm
Emancipation 
Optimism

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.
"
"MYRRH","🏺Myrrh is the oldest essential oil extracted from the resin of the tree Commiphora Myrrha

🌿Chemical composition: seksquiterpene hydrocarbons 18%, acetic acid, formic, iris, palmitic, triterpene alcohols, aldehydes, sugars, phenols, resins, terpenes, etc.

IMPACT ON THE PHYSICAL LEVEL:

✔️Psychotropic (tranquilizer and antidepressant) 
✔️Fungicidal 
✔️Harmonizes Emotions 
✔️Expectorant
✔️Antiseptic
✔️Immunomodulator
✔️Regenerating
✔️Improves micro circulation 
✔️Normalizes gastric acidity 
✔️Normalizes menstrual cycle 
✔️Tonic
✔️Relaxing 
✔️Anti-inflammatory
✔️Antiseptic 
✔️Moisturizes skin 
✔️Strengthens hair
✔️Resolves scar tissue

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
A broken maternal bond
Distrust 
Abandonment 
A cruel world around 
Malnutrition 

✅ Develops: 
A sense of security 
Healthy attachment 
Trust Connection with the earth
Love

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.

"
"JUNIPER BERRY","💙Juniper is one of the best oils for the bladder. 

🌿 Chemical composition: alpha - pinene up to 44%, sabinene up to 17%, limonene 6%, terpene 4 - ol up to 8%, carveol 0.4%.

IMPACT ON THE PHYSICAL LEVEL:

✔️Bactericidal against infections of the pulmonary, digestive and genitourinary system
✔️Antituberculous
✔️Antiseptic
✔️General therapeutic 
✔️Anti-inflammatory 
✔️Antioxidant
✔️Removes uric acid salts
✔️Adaptogen
✔️Diuretic/diaphoretic
✔️Expectorant (removes sputum and mucus)
✔️Immunomodulator
✔️Stimulates menstruation 
✔️Triggers lipolysis (splitting of fats)
✔️Tones/invigorates 
✔️Warming 
✔️Normalizes blood sugar
✔️Normalizes appetite and gastrointestinal function 
✔️Normalizes AO with prolonged use 
✔️Repellent

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Irrational Fear
Nightmares 
Sleep Disturbance 
Avoidance

✅ Develops: 
Protection 
Restful Sleep 
Awareness 
Courage 
Integrity

🌸 Method of application: aromatic, external.

Information is for informational purposes only. Consult your doctor.

"
"PEPPERMINT ","🌱Peppermint is a wonderful thing for the concentration of attention

🌿 Chemical composition: menthol 33 - 39%, neomentol 1.6 - 4.5%, neoizomentol 0.7 - 1.6%. mentone 5.9 -28.5%, isomenton 1.4 - 15.5%, methyl acetate 4.5 - 20%

IMPACT ON THE PHYSICAL LEVEL:

✔️Adaptogen (balance of the nervous system) 
✔️Anti-inflammatory 
Bactericidal against the gastrointestinal tract
✔️Antispasmodic 
✔️Analgesic
✔️Expectorant
✔️Diaphoretic 
✔️Antipyretic 
✔️Antiarrhythmic 
✔️Immunomodulatory 
✔️Improves microcirculation
✔️Normalizes skin properties 
✔️Antiseptic 
✔️Choleretic 
✔️Carminative
✔️Increases concentration of attention
✔️Antisclerotic 
✔️Repellent 
✔️Anthelmintic
✔️Reduces lactation 
✔️Reduces potency in men

IMPACT ON THE EMOTIONAL LEVEL:

❌Removes: 
Unbearable pain
Strong despair 
Despondency 
Pessimism
Sadness 
Disappointment

✅Develops: 
Cheerfulness 
Optimism 
Relief 
Strength to look pain in the eye

🌸 Method of application: aromatic, external, internal.

Information is for informational purposes only. Consult your doctor.

"
"NEROLI","🌿 Chemical composition: limonene (60-80%), beta - linen (up to 14%), gamma - Terpinen (about 10%), Terpinen - 4-ol (up to 1%), geraniol and neryl acetate (about 1%), citral (3 - 5%), fatty aldehydes C8 - C12 (about 0.8%).

BASIC PROPERTIES

✔️Antidepressant 
✔️Anxiolytic
✔️Soothing 
✔️Antisclerotic
✔️Hypotensive
✔️Harmonizes the function of the endocrine glands
✔️Eroticizing
✔️Antitoxic
✔️Normalizes carbohydrate - fat metabolism
✔️Stimulates the breakdown of fats
✔️Normalizes appetite
✔️Moisturizes the skin

ADDITIONAL PROPERTIES

🔸Antiarrhythmic 
🔸Activates coronary blood flow 
🔸Stimulates microcirculation
🔸Sedative 
🔸Antiseptic
🔸Antispasmodic 
🔸Regenerative
🔸Analgesic
🔸Tones the skin

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
conflict, anxiety, alienation, lack of empathy and kindness, stagnation, censure, escapism 

✅ Develops: patience, sensitivity, kindness, endurance, calmness, intimacy, sexual desire, cheerfulness, willingness to cooperate, loyalty.

Information is for informational purposes only. Consult your doctor.

"
"OREGANO ","🌱Oregano is a powerful natural antibiotic. The best antifungal agent. 

🌿Chemical composition: carvacrol 60 - 75%, thymol up to 5%, caryophyllene 2 - 5%, linalool 0.5 - 3%, gamma - Terpinen 3 - 5%, paracimol 5 - 9%, etc.

IMPACT ON THE PHYSICAL LEVEL:

✔️Antimicrobial (especially ARVI) 
✔️Expectorant 
✔️Broncho lytic
✔️Anti-inflammatory 
✔️Sedative 
✔️Triggers lipolysis, stimulates appetite and gastrointestinal function
✔️Fungicidal 
✔️Analgesic 
✔️Hypotensive (lowers blood pressure) 
✔️Increases blood clotting
✔️Stimulates menstruation 
✔️Anti-parasitic
✔️Insecticidal
✔️Suppresses libido

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Bad attachments 
Pride 
Self-confidence
Stubbornness 
Control

✅ Develops: modesty, flexibility, readiness, learnability of non-attachment.

🌸 Method of application: aromatic, external.

Information is for informational purposes only. Consult your doctor.

"
"PATCHOULI ","🌸 Patchouli is oil from the group of male archetypes, the most moneyed oil. 

🌿Chemical composition: pachulol 27 0 35%, nor - pachulenol 0.2 - 1%, alpha - pachulene 3 - 6%, beta - 1,8 - 3,5%, alpha - guaiene 11 - 16%, caryophyllene 2 - 5%, bulnesene 13 - 21% and others


IMPACT ON THE PHYSICAL LEVEL:

✔️Fungicidal 
✔️Antiseptic
✔️Relaxing
✔️Aphrodisiac
✔️Antidepressant
✔️Anti-inflammatory 
✔️Normalizes appetite (inhalation - relieves, internally - increases)
✔️Normalizes the CM function of the gastrointestinal tract
✔️Moisturizes the skin
✔️Regenerating
✔️Sedative 
✔️Antioxidant 
✔️Diuretic
✔️Immunomodulator 
✔️Deodorizing

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Shame and condemnation of the body 
Separation from the body
Non-grounding 
Tension

✅ Develops:
Grounding
Confidence 
Unity and acceptance of the body
Moderation
Balance 
Physical expressiveness

🌸 Method of application: aromatic, external.

Information is for informational purposes only. Consult your doctor.
"
"BLACK PEPPER ","🖤 Black pepper is part of the mixture, which helps to get rid of excess weight. 

🌿Chemical composition: Limonene 13-22%, Alpha-bergamotene, Sabinin 16%, Caryophyllene 16-18%, piperine 5-9%, piperonal, camphene

IMPACT ON THE PHYSICAL LEVEL:

✔️Digestive
✔️Increases Appetite and improves gastrointestinal function 
✔️Antitoxic 
✔️Antibacterial
✔️Tones the nervous system 
✔️Activates blood circulation 
✔️Expectorant 
✔️Eroticizing
✔️Locally Irritating 
✔️Antiseptic 
✔️Carminative/Diaphoretic/Diuretic
✔️Analgesic 
✔️Antipyretic 
✔️Antispasmodic
✔️Warming


IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes: 
Suppressed emotions 
Pride 
Life in captivity of illusions
Emotional fuzziness

 ✅ Develops: 
motivation
Courage 
Integrity
Gives strength
Authenticity 
Self-awareness

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.




"
"PETITGRAIN","🍃Petitgraine – is an essential oil from wild orange leaves and branches

🌿Chemical composition: Linalyl acetate 46%, linalool 25%, geranylperyl acetate 7%, geraniol and nerol 3%, alpha - terpineol 6%, limonene 2-4%

IMPACT ON THE PHYSICAL LEVEL:

✔️Antioxidant 
✔️Anxiolytic 
✔️Stabilizer Ether Sphere 
✔️Antisclerotic 
✔️Normalizes the blood formula
✔️Normalizes the activity of sebaceous glands
✔️Fungicidal 
✔️Antibacterial
✔️Restorative 
✔️Soothing 
✔️Antiarrhythmic
✔️Deodorizing
✔️Improves microcirculation

IMPACT ON THE EMOTIONAL LEVEL:

 ❌ Removes: 
Renunciation of ancestors 
Repetition of negative family stereotypes
Sense of duty
Ancestral shame 
Loyalty to unhealthy traditions

✅ Develops: 
Innovation 
Breaking patterns
Cultivation of healthy traditions 
Acceptance of positive family ties

🌸 Method of application: aromatic, external

Information is for informational purposes only. Consult your doctor.



"
"ROMAN CHAMOMILE ","🌼 Roman chamomile is one of the most valuable oils in view of the huge number of healing properties.

🌿Chemical composition: esters mainly of angelic acid (up to 80%), farnesyl (2.3%), beta damascenone, hamazulene.

IMPACT ON THE PHYSICAL LEVEL:

✔️Anti - inflammatory 
✔️Ant allergic 
✔️Soothing 
✔️Antispasmodic
✔️Analgesic
✔️Regenerating
✔️Antipyretic
✔️Hypotensive 
✔️Stimulates appetite and secretory - motor function of the gastrointestinal tract 
✔️Stimulates menstruation 
✔️Nourishes and brightens hair
✔️Stimulates leukopoiesis
✔️Normalizes vascular wall permeability
✔️Antioxidant 
✔️Improves microcirculation 
✔️Sedative
✔️Antiseptic
✔️Bactericidal 
✔️Carminative 
✔️Diuretic
✔️Normalizes acidity of gastric juice 
✔️Tonic 
✔️Anthelmintic
✔️Immunomodulatory 
✔️Anti-pruritic

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes:
Aimlessness 
Discouragement 
Boredom 
Frustration 
Unsettled

✅ Develops: 
Acquisition of intentions and spiritual guidance
Pacification
Completeness 
Relaxation 
Spiritual unity

🌸 Method of application: aromatic, external
 
Information is for informational purposes only. Consult your doctor.
 

"
"ROSE","🌹 Rose is the queen of essential oils, has the highest vibration frequency - 320 MHz
The most expensive and most adulterated oil in the world.

🌿 Chemical composition: contains about 4000 elements: Citronellol 15 - 38%, geraniol 14 - 20%, Nerol 7 - 13%, eugenol 0.3 - 3.1%, linalool 0.2 -2%, etc.

IMPACT ON THE PHYSICAL LEVEL: 

✔️Antidepressant
✔️Activates hemodynamics of the brain
✔️Antiallergenic
✔️Antifungal
✔️Anti-inflammatory 
✔️Antitoxic
✔️Hypotensive 
✔️Aphrodisiac - stimulates estrogen production
✔️Laxative 
✔️Stimulates menstruation
✔️Hepatoprotector
✔️Normalizes testosterone levels
✔️Regulates appetite
✔️Antitumor
✔️Increases concentration
✔️Antispasmodic antiseptic 
✔️Anthelmintic 
✔️Antipyretic
✔️Expectorant
✔️Tones/relaxes 
✔️Decongestant 
✔️Analgesic
✔️Antiarrhythmic
✔️Regenerating 
✔️Hemostatic
✔️Antioxidant 
✔️Antisclerotic

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes:
Loss of divine love 
Lamped feelings 
Closed or broken heart lack of compassion

✅ Develops: 
Acceptance of love
Compassion softhearted
Healing empathy 
Recognition 
Divine love

🌹 Method of application: aromatic, external

Information is for informational purposes only. Consult your doctor.

 
"
"ROSEMARY ","🌿 Rosemary is one of the best hair care oils

🍃 Chemical composition: 1,8 cineol 17 - 55%, camphor 5 - 22%, borneol 1.5 - 4.5%, bornyl acetate 0.1 - 2.5%, alpha- terpineol 1 - 3.5%, alpha - pinene 9 - 26%, beta - pinene 2 - 9%, camphene 3.5 - 13%, verbenone 0,25%.

IMPACT ON THE PHYSICAL LEVEL: 

✔️Tonic 
✔️Adaptogen 
✔️Stimulates general and local blood circulation
✔️Stimulates heart activity
✔️Hypertensive 
✔️Antiseptic
✔️Antisclerotic 
✔️Choleretic
✔️Normalizes appetite and improves gastrointestinal function 
✔️Expectorant
✔️Stimulates brain activity 
✔️Antispasmodic 
✔️Tones skin
✔️Analgesic
✔️Carminative
✔️Reduces secretion of sweat and sebaceous glands 
✔️Anti-inflammatory 
✔️Normalizes mineral metabolism
✔️Dissolves kidney stones 
✔️Prevents hair loss 
✔️Wound healing
✔️Diuretic 
✔️Antiparasitic

IMPACT ON THE EMOTIONAL LEVEL:

❌Removes:
Confusion
Difficulties of transition 
Difficulties of adaptation
Limited vision 

✅ Develops: 
Clarity of mind
Literacy 
Learnability 
Clarity
Openness to new things

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.
"
"SANDALWOOD ","📿 Sandalwood is the oldest cult oil used in spiritual practices. 

🌿CHEMICAL COMPOSITION: alpha and beta santalol 90%, 2 bergamot 4-8%, santen, santalen, teresantalol, santenone

IMPACT ON THE PHYSICAL LEVEL: 

✔️Antipsychotic 
✔️Harmonizes the emotional environment
✔️Relaxing 
✔️Antiseptic (respiratory organs and genitourinary system)
✔️Fungicidal 
✔️Normalizes the physiological properties of the skin 
✔️Aphrodisiac 
✔️Diuretic
✔️Expectorant 
✔️Improves the structure of the hair and gives them softness 
✔️Antispasmodic 
✔️Sedative
✔️Antitoxic 
✔️Carminative
✔️Blood purifying
✔️Normalizes the function of the sebaceous glands
✔️Astringent

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes:
Loss 
Despair
Regret 
Sadness 
Worry about the Past 
Longing

✅ Develops:
Forgiveness
Consolation 
Vision
Honesty
Wisdom
Optimism
Living in the Present
Peace
Adaptability

🌸 Method of application: aromatic, external, internal

Information is for informational purposes only. Consult your doctor.



"
"THYME","🍃Thyme is burning spicy oil, ideal as a preventive antibacterial and antiviral therapy. 

🌿Chemical composition: thymol up to 60%, carvacrol 2 - 10%, paracimol up to 20%, gamma - terpene up to 12%, caryophyllene 2 - 10%.

IMPACT ON THE PHYSICAL LEVEL: 

✔️Bactericidal 
✔️Antiviral 
✔️Fungicidal
✔️Immunomodulator 
✔️Improves microcirculation 
✔️Normalizes the activity of the central and peripheral nervous system
✔️Antispasmodic 
✔️Normalizes appetite and improves the function of the gastrointestinal tract 
✔️Soothing
✔️Stimulating 
✔️Activates mental activity 
✔️Stimulates hematopoiesis 
✔️Expectorant 
✔️Diuretic 
✔️Anthelmintic 
✔️Repellent 
✔️Strengthens hair
✔️Place - analgesic 
✔️Stimulates menstruation

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes:
Anger 
Rage 
Hatred
Relentlessness 
Bitterness 
Resentment 
Emotional 
Slavery

✅ Develops: 
Forgiveness 
Tolerance 
Generosity
Understanding
Emotional Liberation

🌸Method of application: aromatic, external, internal

 Information is for informational purposes only. Consult your doctor.
"
"ARBORVITAE ","🌲Arborvitae is a highly effective cleanser. 

🌿Chemical composition: talon and isotujone 57%, feichon 8%, bornyl acetate 6%, camphor 2.5%, terpene 4 - ol 27%, monoterpene hydrocarbons 15%.

IMPACT ON THE PHYSICAL LEVEL: 

✔️Anti-inflammatory 
✔️Antimicrobial 
✔️Expectorant 
✔️Local - irritating 
✔️Immunostimulating 
✔️Eliminates congestion in the pelvic organs 
✔️Tones 
✔️Soothes
✔️Diaphoretic
✔️Carminative 
✔️Diuretic
✔️Antitoxic
✔️Antitumor
✔️Anthelmintic
✔️Antiallergic
✔️Aphrodisiac
✔️Strengthens Hair

IMPACT ON THE EMOTIONAL LEVEL:

❌ Removes:
Waywardness 
A lone wolf 
Distrust 
Cruelty
Control 
Caution

✅ Develops:
Appeasement
Compliance
Grounding 
Trust
Grace 
Relaxation

🌸 Method of application: aromatic, external.
 
Information is for informational purposes only. Consult your doctor.
"
"FENNEL","🍃 Fennel is excellent oil for digestion and ingestion. 

🌿 Chemical composition: anethol 60 - 80%, methylhavicol 3 - 15%, fennel 2 - 22%, aniseed aldehyde 0.5 - 2%.

IMPACT ON THE PHYSICAL LEVEL: 

✔️Normalizes appetite and reduces the function of the gastrointestinal tract 
✔️Laxative 
✔️Expectorant 
✔️Bronchiolitis
✔️Mucolytic (dilutes sputum) 
✔️Soothing 
✔️Antiseptic 
✔️Fungicidal 
✔️Lactogenic
✔️Diuretic
✔️Antitoxic 
✔️Tobacco antidote (weakens the effects of tobacco alcohol food toxins) 
✔️Stimulates the production of estrogens
✔️Normalizes menstruation
✔️Antispasmodic 
✔️Stimulates blood flow and lymph flow 
✔️Antiemetic 
✔️Harmonizes the function of the endocrine glands
✔️Anthelmintic Increases visual acuity causes disgust alcohol and tobacco 
✔️Moisturizes the skin

IMPACT ON THE EMOTIONAL LEVEL:

❌Removes:
Lack of passion
Unwillingness to take responsibility
Shame 
Suppressed self - esteem 
Immunity to body signals

✅ Develops: 
Responsibility 
Harmony with the body 
Saturation

🌸Method of application: aromatic, external, internal

 Information is for informational purposes only. Consult your doctor.
"
"FRACTIONATED COCONUT OIL","Suitable for dry and irritated skin. 

The oil does not cause a greasy shine, unlike other vegetable oils; it creates a pleasant feeling of smooth, silky skin. Fractionated coconut oil mixes perfectly with all essential oils colorlessly, has no smell and leaves no greasy traces.

Advantages:

🥥 The ideal oil for diluting pure essential oils
🥥 Softens dry and soothes irritated skin
🥥 Strengthens skin protection 
🥥 Does not affect the smell of your perfume and the aroma of essential oils

Application: 

✔️ To moisturize and soften the skin, apply to the desired area of the skin and rub with massaging movements.
✔️ For a relaxing massage of the neck and shoulders, for deeper relaxation, mix with essential oils with soothing properties in the ratio indicated for the selected essential oils. 
✔️ To dilute strong oils before applying them to the skin in order to reduce sensitivity, as well as when using any oils applied with hypersensitivity of the skin.
✔️ As light carrier oil, use for dilution of therapeutic grade essential oils when applied externally in the ratio specified in the application of a specific essential oil.
✔️ Suitable for any type of skin at any age
✔️ Natural emollients do not interfere with the absorption of essential oils and improve their distribution 
✔️ Has no smell and color. 
✔️ Does not leave a greasy shine on the skin.

For the external use only ❗️



"
